景点名称,美食评分,人均消费,地址,推荐菜,评价
廖老妈蹄花店(人民公园陕西街259号店),4.4,49,陕西街259号（人民公园陕西街菜市场西南方斜对面）,"菌香炒肉	老妈面	青笋肥肠	夫妻肺片	酸辣蹄花	老妈兔头	鱼香蹄花	蒜泥白肉	香辣蹄花	干锅蹄花	回锅肉	红糖糍粑	红糖凉糕	宫保鸡丁	雪豆蹄花	青菜钵钵",主打蹄花的川菜馆，精湛技艺造就酥软口感。
青城山镇青城谧境民宿·餐厅,4.1,126,青城山镇茶坪3组36号,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",辣子鸡，小块的鸡肉外酥里嫩，辣椒的香辣与花椒的麻完美结合，每一口都让人热血沸腾。
渝少侠·小院火锅(武侯祠店),3.5,132,武侯祠大街244号（南郊公园正对面）,"番茄牛腩, 煎鸡排, 鲍鱼粥, 海鲜面, 荠菜饺子",蒸水蛋，鸡蛋蒸得嫩滑如布丁，清香的蒸蛋搭配几滴酱油，简单却让人百吃不厌。
萍姐火锅·公路夜市(成都店),4.8,117,玉双路9号3栋1层1号,"红烧狮子头, 鸡蛋土豆泥, 粉蒸肉, 香菇滑鸡, 酸辣土豆片",复古港式装修风格，充满浓浓的市井烟火气
正南齐北重庆老火锅,4.2,93,悦府495号,"芥兰牛肉, 蒜泥白肉, 红油抄手, 烤羊排, 香酥鸭",风味小龙虾，小龙虾肉质Q弹，风味麻辣的汤汁包裹着每只虾，让每一口都充满惊喜。
川西坝子火锅(清江东路3.0直营店),4.7,121,清江东路8号附46号-48号,"方竹笋	郡肝	黄喉	嫩牛肉	豆浆	苦荞茶	虾饺	腰片	鱿鱼	炸酥肉	豆花	千层肚	鸭肠	宽粉	鹅肠	毛肚	肥牛	冻豆腐	蒸饺	鸡肾	藕片	千丝肚	不老牛肉	牛肉滑	虾滑	酥肉",暗黑系的火锅店，特色装潢彰显蜀地文化
老码头火锅(骡马市店),4.4,114,青龙街27号铂金城购物广场3楼(三医院对面),"鲜虾滑	鲜猪黄喉	鲜鹅肠	火锅牛排	码头鲜虾	丸青笋片	现炸酥肉	手工苕粉	嫩牛肝配干碟	千层肚",装修好，鸳鸯锅底特别辣。
俏媳妇家庭火锅(宽窄巷子店),4.6,116,支矶石街28号成都画院对面,"鲜鸭血	现炸酥肉	鸳鸯锅	特级千层肚	鲜牛黄喉	麻辣牛肉",满墙挂画营造文艺之感，锅底醇浓地道
盡膳口福跷脚牛肉火锅(科华北路店),4.2,110,科华北路50号(川大望江校区地铁站A口步行220米),"尽膳口福	雪魔芋	凉拌豆芽	雪花肥牛	自助冰粉	铁板脑花	牛头皮	峨眉山雪魔芋",餐厅历史已逾百年，烹饪技艺获非遗殊荣
冒椒火辣(奎星楼街店),4.4,74,中同仁路奎星楼街33号(近宽窄巷子),"酸角汁	油碟	兔头	脑花	毛肚	缠绵火锅粉	小土豆	口口脆	干碟	牛肉	酸奶	农家小洋芋	爆浆兔腰	老卤鹌鹑蛋	排骨	恒侯兔腰	纠结千层肚	小郡干	串串香	麻辣牛肉干	掌中宝	冷锅串串	火锅粉	杠上脑花",堪称成都串串届的标杆，深受食客欢迎
朴田泰式海鲜火锅(川音店),4.7,134,群众路69号附1-2号(民生菜市对面),"美食林臻选	生蚝	三种蘸碟	冬阴功锅底	玫瑰花茶	青口	泰式海鲜锅	泰式海鲜菠萝炒饭	蛏子皇	青柠薄荷水	泰式沾碟	菜品拼盘	基围虾	鲍鱼	双人海鲜套餐	茉色天香	扇贝	青柑橘柚子蜜苏打	双人海鲜拼盘	精品海鲜拼盘	花甲	拿破仑	海鲜炒饭	海鲜拼盘	菠萝饭	锅底	朴田密制蘸碟	香蕉牛奶	泰式蘸碟	榴莲飘飘	虾滑	烤元贝	花蟹	香草榴莲蛋糕",高颜值的泰式火锅店，甜品亦是拿手绝活。
王妈手撕烤兔(新鸿店),5,49,四川省成都市成华区小龙桥东巷42号1楼,"麻辣兔头	麻辣兔后腿	雪花勇闯啤酒	王老吉瓶装	广东凉茶	雪碧	农夫山泉	麻辣兔大腿	麻辣烤兔	王妈手撕烤兔",...都之前，就有到成都出差的同事特意过去买了，找顺丰帮我们邮寄回来，这次去成都吃应该是我第四次吃了
锦城印象火锅(玉林店),4.5,157,倪家桥路9号(九和楼下),"其他	火锅刀削面	青笋片	生抠极品鹅肠	极品鲜毛肚	锦城上上签	美国肥牛	锦城老冰粉	极品千层肚	鸭血	锦城嫩牛肉",具有川西民居古风特色的火锅店，味道上乘。
康二姐串串(中道街店),4.3,72,中道街99号附32号,"鱼片, 茼蒿, 豌豆尖, 鱿鱼, 牛肉滑",牛气冲天的苍蝇馆子，一口一串吃到嗨
四海一家(仁恒置地广场店),4.7,158,成都市锦江区人民南路2段1号仁恒置地广场F5,"三文鱼	烤生蚝	芝士蛋糕	蜜汁叉烧	鱼翅捞饭	抹茶味哈根达斯	北京烤鸭	巴西烧烤	牛排	鱼翅酥皮汤",聚四海美食于一家，各式经典美食皆备。
he’s何师烧烤(九眼桥空中花园店),4.6,70,"一环路东五段87号阳光新业中心6层（阳光新业大厦东北门,进门直升电梯6楼直达）","红糖滑冰粉	烤排骨	辣炒掌中宝	何师中翅	锡纸烤脑花	何师烤脑花	何师烤肉	藤椒味钵钵鸡	烤扇贝	烤茄子",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
龙森园火锅(琴台路店),4.6,184,少城街道琴台路60号,"牛舌	竹荪	千层	肚净鱼头	麻辣牛肉	凉拌血旺",古朴气派的火锅店，醇浓锅底彰显地道川味
蓉记香辣蟹爬爬虾(宽窄巷子店),4.3,124,西安中路40号豪瑞新界-A座楼1楼,"扇贝	茶树菇	蟹黄豆腐	爬爬虾	香辣螺肉	蟹黄豆花	香辣肥肠	文蛤蒸蛋	香辣虾	香辣蟹	米汤耙耙菜	排骨藕汤	香辣爬爬虾	卤味拼盘	麻辣龙虾	基围虾	水煮耗儿鱼",将海鲜与川味结合，迸发出麻辣与鲜香。
夫妻肺片·中华老字号·正宗川菜(春熙路店),4.1,51,总府路23、25号,"香辣味的黔鱼, 鲜榨石榴汁, 啤酒兔, 虾饼, 牛肉",主打当地风味小吃，夫妻肺片麻辣入味
龙抄手(春熙路总店),4.2,29,城守街63号,"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",门头古朴大气，汇聚各式蜀地风味小吃
洞子口张老二凉粉(文殊院店),4.5,15,文殊院街39号,"凉粉儿	钟水饺	红油抄手	白凉粉	凉面	黄凉粉	旋子凉粉	牛肉担担面	锅魁夹卤肉	红油水饺	豌豆凉粉	甜水面",以味道取胜的小吃店，丰富吃食各有千秋
