酒店名称,地址,评分,价格,评价
成都蓝城悦榕美食文化酒店(武侯祠锦里店),高档型_成都武侯区永丰路16号,4.9,235,"性价比相当高的酒店，房间也很干净,位置也很方便"
成都歌巴莱法式主题酒店,舒适型_成都双流区东升镇龙桥路52号,4.7,201,"特别推荐,超级推荐的酒店，整体体验非常满意"
成都环球中心天堂洲际大饭店,豪华型_成都武侯区高新区天府大道北段1736号,4.5,983,隔音真的很差，感觉可以呆上一整天不出门
榛悦隆堡成都酒店,豪华型_成都锦江区下东大街216号喜年广场B座,4.4,770,"酒店地理位置相当不错，设施设备齐全,服务员很热情"
嘉好悦美花园酒店(成都宽窄巷子天府广场店),高档型_成都青羊区文翁路139号,4.6,273,"地理位置很好,人民公园，房间干净卫生整洁,住的很舒服"
怡家丽景酒店 (武侯祠华西医院店),舒适型_成都武侯区洗面桥街9号附23号,4.6,266,"环境挺好,交通也方便,离地铁站很近，实惠,环境好,干净卫生,服务员的服务态度"
瑞熙酒店(成都四川大学望江校区店),高档型_成都武侯区科华中路139号,4.8,299,"入住体验很好,交通便利,早餐丰富,面条，早餐很丰富,服务挺好的,房间很干净"
好逸SMART酒店(成都春熙太古里店),舒适型_成都锦江区红星路四段88号,4.8,117,"前台服务很好,酒店的位置也很方便便利，酒店在市中心交通很便利"
豪阁遇上酒店(成都宽窄巷子店),高档型_成都金牛区一环路西三段1号,4.8,276,"地理位置很好,去哪里都很方便，交通方便,洗澡水有点小"
老成都客栈(成都春熙路太古里店),舒适型_成都锦江区总府路29号,4.4,352,不错不错n，性价比也很高
成都空港悦享酒店(双流机场店),高档型_成都双流区双流国际机场东一路50号,4.5,363,"房间大,整洁,各种硬件设施都不错，酒店很干净"
嘉好弗斯达酒店(成都文殊院地铁站店),高档型_成都青羊区文武路152号,4.4,196,"隔壁是公安局,安静。设施:总体很满意，还要特别感谢前台主管的照应"
成都瑞城名人酒店,四星级_成都青羊区人民中路二段68号,4.8,172,"保洁人员服务也好,前台办理人员也很好，酒店离地铁一号线很近,进入大厅特别凉爽"
成都帝盛酒店(春熙路文殊院店),豪华型_成都青羊区西玉龙街168号,4.6,308,"这次成都之行选的酒店很好,位置好，早餐丰盛,最爱牛角包"
美豪酒店(成都春熙路太古里店),高档型_成都锦江区红星路2段20号,4.6,258,"门面挺大,一楼很贴心，大床房间有点小,总体不错"
青桐城市酒店(成都宽窄巷子花牌坊地铁站店),高档型_成都金牛区花牌坊北顺街2号,4.7,359,"耐心,卫生好,设施齐全，?酒店非常不错,各方面服务都细致周到"
西姆轻奢成都天府广场酒店,舒适型_成都青羊区人民南路一段118号,4.6,306,"对面就是天府红,早餐也很不错，离天府广场很近,交通方便,值得推荐"
成都上层名人酒店,豪华型_成都金牛区星辉中路24号,4.7,409,"价格适中，名人旗下酒店,商旅和旅游都非常适合"
瑞熙酒店(成都宽窄巷子店),高档型_成都金牛区一环路北一段279号,4.8,262,"位置乘坐地铁方便,交通便利，服务态度好,非常好的一次住宿体验"
熊猫尚雅酒店(成都双流国际机场店),舒适型_成都双流区寺圣二路68号附2号,4.4,147,"房间布置很温馨,空间也很大，交通便利,位置很好繁华,出行方便"
POSHPACKER拖板鞋青年旅舍旅行酒店(成都太古里春熙路地铁站店),舒适型_成都锦江区东升街98号3楼,4.7,81,"干净整洁,生活用品一应俱全,非常推荐，前台小姐姐很友好很热情,位置绝佳"
成都太古里春熙林恩国际酒店,高档型_成都青羊区提督街1号,4.6,398,"很好非常非常好，酒店位置特别好,到景区都挺方便的"
成都翔宇商务酒店,舒适型_成都双流区西航港物流大道1080号,4.7,233,"有机场接送很方便,房间很干净，房间内挺干净的,睡觉也很安静"
成都东大明宇豪雅饭店,豪华型_成都锦江区东大街紫东楼段39号(明宇金融广场),4.7,83,"我们去看音乐节顺路吃饭总体满意，酒店房间视野很好,房间每天打扫的很认真"
成都薰衣草公寓,舒适型_成都成华区邛崃山路68号东方新城二期(东广场北出口),4.9,1688,"房间比较舒适，总体来说不错,老板热情招待,服务到位"
