景点中文名称,景点英文名称,攻略数量,点评数量,景点地点,景点排名,驴友数量,景点简介
宽窄巷子,Kuanzhaixiangzi Alleys,2142,12757,成都,2,68%,喝茶泡吧、掏掏耳朵，吃吃火锅，感受成都人幸福的悠闲生活。
锦里古街,Jinli Street,1942,14433,成都,3,61%,成都最古老、最热闹繁华的商业街区，能品尝到众多的当地美食。
武侯祠,Wuhou Shrine,2346,7967,成都,5,46%,刘备和诸葛亮的合祀的祠宇，中国唯一的君臣合祀祠宇。
成都大熊猫繁育研究基地,Chengdu Research Base of Giant Panda Breeding,2451,14021,成都,1,38%,成都周边观赏大熊猫最便利的地方，很多萌萌的大熊猫等着你哦。
杜甫草堂,Chengdu Du Fu Thatched Cottage Museum,1542,4896,成都,4,38%,唐代大诗人杜甫当年流离成都时的寓所，收藏有书法“四绝”。
成都市人民公园,Chengdu People's Park,249,950,成都,9,17%,市中心的街心公园，喝茶发呆晒太阳，感受随意轻松的安逸生活。
文殊院,Wenshu Temple,190,1178,成都,10,29%,院内供奉有300多尊佛像，材质不同，形态各异；院内的素斋也很赞。
青羊宫,Qingyang Taoist Temple,102,917,成都,12,23%,成都现存最古老的道观，敬香祈福，感受玄妙的道家气息。
大慈寺,Daci Temple,98,397,成都,42,1%,闹市区的古寺，有1600年的历史，玄奘法师在这里受戒、讲学。
金沙遗址博物馆,Jinsha Site Museum,86,2517,成都,16,10%,商周时代遗址，出土的“太阳神鸟”饰品，是中国文化遗产的标志。
东郊记忆,Eastern Suburb Memory,81,446,成都,24,1%,工业区改建的景区，文艺青年的最爱，还有李宇春名人的手模墙。
四川大学(望江校区),Sichuan University,81,353,成都,25,4%,望江校区的行政楼由梁思成设计；校区的天使林，是观鸟的好地方。
天府广场,Tianfu Square,61,362,成都,552,0%,成都的中心广场，城市的地标和象征，还是两条地铁线的换乘中心。
都江堰景区,Dujiangyan Scenic Spot,58,13977,都江堰,2,28%,中国目前保存最完整的古代水利工程。
